COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Western Screech-owl kennicottii subspecies,,Threatened,2012-05-04,Megascops kennicottii kennicottii,Western Screech-Owl kennicottii subspecies,,Threatened,2017-02-03,Schedule 1,2005-01-12,British Columbia,Birds,,Uplisted: Special Concern to threatened
Western Screech-owl macfarlanei subspecies,,Threatened,2012-05-04,Megascops kennicottii macfarlanei,Western Screech-Owl macfarlanei subspecies,,Threatened,2017-02-03,Schedule 1,2005-01-12,British Columbia,Birds,,Downlisted: Endangered to threatened
Western Silvery Aster,,Threatened,2021-05-05,Symphyotrichum sericeum,Western Silvery Aster,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,,Added to list
Western Silvery Minnow,,Threatened,2017-11-01,Hybognathus argyritis,Western Silvery Minnow,,Threatened,2003-06-05,Schedule 1,2003-06-05,Alberta,Fishes (freshwater),,Added to list
Western Skink,,Special Concern,2014-11-28,Plestiodon skiltonianus,Western Skink,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Western Spiderwort,,Threatened,2002-11-01,Tradescantia occidentalis,Western Spiderwort,,Threatened,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Saskatchewan",Vascular Plants,,Added to list
Western Tiger Salamander,Prairie / Boreal population,Special Concern,2012-11-25,Ambystoma mavortium,Western Tiger Salamander,Prairie / Boreal population,Special Concern,2018-02-02,Schedule 1,2018-02-02,"Alberta, Manitoba, Saskatchewan",Amphibians,,Added to list
Western Tiger Salamander,Southern Mountain population,Endangered,2012-11-25,Ambystoma mavortium,Western Tiger Salamander,Southern Mountain population,Endangered,,Schedule 1,2003-06-05,British Columbia,Amphibians,,
Western Toad,,Non-active,2012-11-25,Anaxyrus boreas,Western Toad,,No Status,2018-05-30,No schedule,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",Amphibians,,Struck - WS reassignment
Western Toad,Calling population,Special Concern,2012-11-25,Anaxyrus boreas,Western Toad,Calling population,Special Concern,,Schedule 1,2005-01-12,"Alberta, British Columbia",Amphibians,,
Western Toad,Non-calling population,Special Concern,2012-11-25,Anaxyrus boreas,Western Toad,Non-calling population,Special Concern,,Schedule 1,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",Amphibians,,
Western Waterfan,,Special Concern,2013-11-01,Peltigera gowardii,Western Waterfan,,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,Lichens,,Added to list
Western Yellow-bellied Racer,,Threatened,2015-11-26,Coluber constrictor mormon,Western Yellow-bellied Racer,,Threatened,2023-02-03,Schedule 1,2006-08-15,British Columbia,Reptiles,,Uplisted: Special Concern to threatened
Westslope Cutthroat Trout,Saskatchewan - Nelson Rivers populations,Threatened,2016-11-27,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,Alberta population,Threatened,2013-03-08,Schedule 1,2013-03-08,Alberta,Fishes (freshwater),,Added to list
Westslope Cutthroat Trout,Pacific populations,Special Concern,2016-11-27,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,Pacific populations,Special Concern,2010-02-23,Schedule 1,2010-02-23,British Columbia,Fishes (freshwater),,Added to list
White Flower Moth,,Endangered,2014-11-28,Schinia bimatris,White Flower Moth,,Endangered,2006-08-15,Schedule 1,2006-08-15,Manitoba,Arthropods,,Added to list
White Hake,Atlantic and Northern Gulf of St. Lawrence population,Threatened,2013-11-01,Urophycis tenuis,White Hake,Atlantic and Northern Gulf of St. Lawrence population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
White Hake,Southern Gulf of St. Lawrence population,Endangered,2013-11-01,Urophycis tenuis,White Hake,Southern Gulf of St. Lawrence population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
White Meconella,,Endangered,2005-05-05,Meconella oregana,White Meconella,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
White Prairie Gentian,,Endangered,2010-11-26,Gentiana alba,White Prairie Gentian,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
White Shark,Atlantic population,Endangered,2021-05-05,Carcharodon carcharias,White Shark,Atlantic population,Endangered,2011-06-23,Schedule 1,2011-06-23,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),,Added to list
White Shark,Pacific population,Data Deficient,2006-04-29,Carcharodon carcharias,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
White Sturgeon,,Non-active,2012-11-25,Acipenser transmontanus,White Sturgeon,,No Status,,,,British Columbia,Fishes (freshwater),,
,,,,Acipenser transmontanus,White Sturgeon,Kootenay River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,Fishes (freshwater),,Struck - WS reassignment
,,,,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,2006-08-15,No schedule,,British Columbia,Fishes (freshwater),,Not to list
White Sturgeon,Lower Fraser River population,Threatened,2012-11-25,Acipenser transmontanus,White Sturgeon,Lower Fraser River population,No Status,,,,British Columbia,Fishes (freshwater),,
,,,,Acipenser transmontanus,White Sturgeon,Middle Fraser River,No Status,2006-08-15,No schedule,,British Columbia,Fishes (freshwater),,Not to list
,,,,Acipenser transmontanus,White Sturgeon,Nechako River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),,Added to list
White Sturgeon,Upper Columbia River population,Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),,Added to list
,,,,Acipenser transmontanus,White Sturgeon,Upper Columbia River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,Fishes (freshwater),,Struck - WS reassignment
White Sturgeon,Upper Fraser River population,Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,Upper Fraser River population,No Status,,,,British Columbia,Fishes (freshwater),,
,,,,Acipenser transmontanus,White Sturgeon,Upper Fraser River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),,Added to list
White Sturgeon,Upper Kootenay River population,Endangered,2012-11-25,Acipenser transmontanus,White Sturgeon,Upper Kootenay River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Fishes (freshwater),,Added to list
White Wood Aster,,Special Concern,2023-12-01,Eurybia divaricata,White Wood Aster,,Threatened,,Schedule 1,2005-01-12,"Ontario, Quebec",Vascular Plants,Status change,Pending
White-beaked Dolphin,,Not at Risk,1998-04-01,Lagenorhynchus albirostris,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
White-headed Woodpecker,,Endangered,2023-05-05,Dryobates albolarvatus,White-headed Woodpecker,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
White-rimmed Shingle Lichen,,Threatened,2019-05-03,Fuscopannaria leucosticta,White-rimmed Shingle Lichen,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Lichens,Addition,Pending
White-top Aster,,Special Concern,2009-04-26,Sericocarpus rigidus,White-top Aster,,Special Concern,2011-02-04,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Downlisted: Threatened to special concern
Whitebark Pine,,Endangered,2010-04-25,Pinus albicaulis,Whitebark Pine,,Endangered,2012-06-20,Schedule 1,2012-06-20,"Alberta, British Columbia",Vascular Plants,,Added to list
Whooping Crane,,Endangered,2010-04-25,Grus americana,Whooping Crane,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, Manitoba, Northwest Territories, Saskatchewan",Birds,,Added to list
Wild Hyacinth,,Threatened,2002-05-01,Camassia scilloides,Wild Hyacinth,,Threatened,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Added to list
Williamson's Sapsucker,,Endangered,2017-11-01,Sphyrapicus thyroideus,Williamson's Sapsucker,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Birds,,Added to list
Willowleaf Aster,,Special Concern,2024-05-09,Symphyotrichum praealtum,Willowleaf Aster,,Threatened,,Schedule 1,2005-01-12,Ontario,Vascular Plants,Status change,Pending
Winter Skate,Eastern Scotian Shelf - Newfoundland population,Endangered,2015-05-01,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf - Newfoundland population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Winter Skate,Eastern Scotian Shelf population,Non-active,2015-05-01,Leucoraja ocellata,Winter Skate,Eastern Scotian Shelf population,No Status,2010-02-23,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Winter Skate,Gulf of St. Lawrence population,Endangered,2015-05-01,Leucoraja ocellata,Winter Skate,Gulf of St. Lawrence population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
