,Taxonomic group,Common name,Scientific name,Last assessment,Stage of current assessment,Canadian range / known or potential jurisdictions 1,Group
15,Reptiles,Massasauga (Great Lakes / St. Lawrence population),Sistrurus catenatus,Threatened November 2012,Revision to final report (Fully Updated Report),"CMN, CWS, ON, Parks",April 2025 (16) wildlife species
16,Reptiles,Snapping Turtle,Chelydra serpentina,Special Concern November 2008,Revision to final report (Addendum),"CMN, CWS, MB, NB, NS, ON, Parks, QC, SK",April 2025 (16) wildlife species
18,Arthropods,[a darkling beetle],Ephalus latimanus,Not applicable,Initial report in preparation (New Report),"CWS, Parks",November 2025 (43) wildlife species
19,Arthropods,Large-lipped Sand Beetle,Omophron labiatum,Not applicable,Initial report in preparation (New Report),"CWS, NS, Parks",November 2025 (43) wildlife species
20,Arthropods,Sable Island Bordered Apamea,Apamea sordens sableana,Not applicable,Initial report in preparation (New Report),"CMN, CWS, NS, Parks",November 2025 (43) wildlife species
21,Arthropods,Sable Island Cutworm Moth,Agrotis arenarius,Not applicable,Initial report in preparation (New Report),"CWS, NS, Parks",November 2025 (43) wildlife species
22,Arthropods,Sable Island Eucosma,Eucosma sableana,Not applicable,Initial report in preparation (New Report),"CWS, NS, Parks",November 2025 (43) wildlife species
23,Arthropods,Sable Island Leaf Beetle,Tricholochmaea sablensis,Not applicable,Initial report in preparation (New Report),"CWS, NS, Parks",November 2025 (43) wildlife species
24,Arthropods,White-marked Tussock Moth (Sable Island spp.),Orgyia leucostigma sablensis,Not applicable,Initial report in preparation (New Report),"CWS, Parks",November 2025 (43) wildlife species
25,Lichens,Pale-bellied Frost Lichen,Physconia subpallida,Endangered November 2009,Revision to final report (Fully Updated Report),"CMN, CWS, NB, ON, Parks, QC",November 2025 (43) wildlife species
26,Marine fishes,Atlantic Salmon (Inner Bay of Fundy population),Salmo salar,Endangered November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NB, NS, Parks",November 2025 (43) wildlife species
27,Marine fishes,Atlantic Salmon (Lake Ontario population),Salmo salar,Extinct November 2010,Revision to final report (Fully Updated Report),"CWS, DFO, ON, Parks",November 2025 (43) wildlife species
28,Marine fishes,Atlantic Salmon (Nunavik population),Salmo salar,Data Deficient November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, HFTCC, NL, NMRWB, Parks, QC, TJFB, TWPCB",November 2025 (43) wildlife species
29,Marine fishes,Atlantic Salmon (Northern Labrador population),Salmo salar,Not at Risk November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CWS, DFO, NL, Parks, QC, TJFB",November 2025 (43) wildlife species
30,Marine fishes,Atlantic Salmon (Northeast Newfoundland population),Salmo salar,Not at Risk November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NL, Parks",November 2025 (43) wildlife species
31,Marine fishes,Atlantic Salmon (South Newfoundland population),Salmo salar,Threatened November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NL, Parks",November 2025 (43) wildlife species
32,Marine fishes,Atlantic Salmon (Southwest Newfoundland population),Salmo salar,Not at Risk November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NL, Parks, QC",November 2025 (43) wildlife species
33,Marine fishes,Atlantic Salmon (Northwest Newfoundland population),Salmo salar,Not at Risk November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NL, Parks",November 2025 (43) wildlife species
34,Marine fishes,Atlantic Salmon (Quebec Eastern North Shore population),Salmo salar,Special Concern November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, Parks, QC",November 2025 (43) wildlife species
35,Marine fishes,Atlantic Salmon (Quebec Western North Shore population),Salmo salar,Special Concern November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, Parks, QC",November 2025 (43) wildlife species
36,Marine fishes,Atlantic Salmon (Anticosti Island population),Salmo salar,Endangered November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, Parks, QC",November 2025 (43) wildlife species
37,Marine fishes,Atlantic Salmon (Inner St. Lawrence population),Salmo salar,Special Concern November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, Parks, QC",November 2025 (43) wildlife species
38,Marine fishes,Atlantic Salmon (Gaspe-Southern Gulf of St. Lawrence population),Salmo salar,Special Concern November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NB, NS, Parks, PE, QC",November 2025 (43) wildlife species
39,Marine fishes,Atlantic Salmon (Eastern Cape Breton population),Salmo salar,Endangered November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NS, Parks",November 2025 (43) wildlife species
40,Marine fishes,Atlantic Salmon (Nova Scotia Southern Upland East population),Salmo salar,Endangered November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NS, Parks",November 2025 (43) wildlife species
41,Marine fishes,Atlantic Salmon (Outer Bay of Fundy population),Salmo salar,Endangered November 2010,Revision to final report (Fully Updated Report),"Atlantic Ocean, CMN, CWS, DFO, NB, Parks",November 2025 (43) wildlife species
42,Marine mammals,Bowhead Whale (Eastern Canada-West Greenland population),Balaena mysticetus,Special Concern April 2009,Revision to final report (Fully Updated Report),"Arctic Ocean, Atlantic Ocean, CWS, DFO, EMRWB, HFTCC, NL, NMRWB, NU, NWMB, Parks, QC, TJFB, TWPCB",November 2025 (43) wildlife species
43,Marine mammals,Bowhead Whale (Bering-Chukchi-Beaufort population),Balaena mysticetus,Special Concern April 2009,Revision to final report (Fully Updated Report),"Arctic Ocean, CWS, DFO, FJMC, IGC, NT, NWMB, Parks, Pacific Ocean, WMAC-NS, WMAC-NWT, YT",November 2025 (43) wildlife species
44,Molluscs,Boreal Awningclam,Petrasma borealis,Not applicable,Revision to final report (New Report),"Atlantic Ocean, CMN, CWS, DFO, NB, NL, NS, Parks",November 2025 (43) wildlife species
45,Molluscs,Bronze Pinecone,Strobilops aeneus,Not applicable,Revision to final report (Fully Updated Report),"CMN, CWS, ON, Parks",November 2025 (43) wildlife species
46,Molluscs,Liard Hot Springs Snail,Physella wrighti,Endangered April 2018,Revision to final report (Fully Updated Report),"BC, CMN, CWS, DFO, Parks",November 2025 (43) wildlife species
47,Molluscs,Northern Abalone,Haliotis kamtschatkana,Endangered April 2009,Revision to final report (Fully Updated Report),"BC, CMN, CWS, DFO, MNJFC, NJFMC, Parks, Pacific Ocean, TAJFC, TWJFC",November 2025 (43) wildlife species
48,Molluscs,Wavy-rayed Lampmussel,Lampsilis fasciola,Special Concern April 2010,Revision to final report (Fully Updated Report),"CMN, CWS, DFO, ON, Parks",November 2025 (43) wildlife species
49,Molluscs,Western Ridged Mussel,Gonidea angulata,Endangered November 2010,Revision to final report (Fully Updated Report),"BC, CMN, CWS, DFO, Parks",November 2025 (43) wildlife species
50,Mosses,Haller's Apple Moss,Bartramia halleriana,Threatened November 2011,Initial report in preparation (Fully Updated Report),"AB, BC, CWS, Parks",November 2025 (43) wildlife species
51,Reptiles,Eastern Musk Turtle,Sternotherus odoratus,Special Concern November 2012,Revision to final report (Status Appraisal Summary),"CWS, ON, Parks, QC",November 2025 (43) wildlife species
52,Reptiles,Loggerhead Sea Turtle,Caretta caretta,Endangered April 2010,Revision to final report (Status Appraisal Summary),"Atlantic Ocean, CMN, CWS, DFO, NB, NL, NS, Parks, PE",November 2025 (43) wildlife species
53,Reptiles,Northern Map Turtle,Graptemys geographica,Special Concern November 2012,Revision to final report (Status Appraisal Summary),"CMN, CWS, ON, Parks, QC",November 2025 (43) wildlife species
54,Terrestrial mammals,American Badger jacksoni subspecies,Taxidea taxus jacksoni,Endangered November 2012,Revision to initial report (Fully Updated Report),"CWS, ON, Parks",November 2025 (43) wildlife species
55,Terrestrial mammals,American Badger jeffersonii subspecies (Eastern population),Taxidea taxus jeffersonii,Endangered November 2012,Revision to initial report (Fully Updated Report),"BC, CWS, Parks",November 2025 (43) wildlife species
56,Terrestrial mammals,American Badger jeffersonii subspecies (Western population),Taxidea taxus jeffersonii,Endangered November 2012,Revision to initial report (Fully Updated Report),"BC, CWS, Parks",November 2025 (43) wildlife species
57,Terrestrial mammals,American Badger taxus subspecies,Taxidea taxus taxus,Special Concern November 2012,Revision to initial report (Fully Updated Report),"AB, CMN, CWS, MB, ON, Parks, SK",November 2025 (43) wildlife species
58,Terrestrial mammals,Grizzly Bear (Western population),Ursus arctos,Special Concern May 2012,Revision to initial report (Fully Updated Report),"AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, FJMC, GRRB, HFTCC, IGC, LRRC, MB, MDRRC, NJFMC, NT, NU, NWC, NWMB, NYRRC, Parks, SRRB, SRRC, TAJFC, TJFB, TRRC, TWJFC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT",November 2025 (43) wildlife species
59,Vascular plants,Illinois Tick-trefoil,Desmodium illinoense,Extirpated May 2000,Revision to initial report (Fully Updated Report),"CMN, CWS, ON, Parks",November 2025 (43) wildlife species
60,Vascular plants,Round-leaved Greenbrier (Great Lakes Plains Population),Smilax rotundifolia,Threatened November 2007,Revision to final report (Fully Updated Report),"CMN, CWS, ON, Parks",November 2025 (43) wildlife species
62,Birds,Golden-winged Warbler,Vermivora chrysoptera,Threatened April 2006,Initial report in preparation (Fully Updated Report),"CWS, MB, ON, Parks, QC, SK",April 2026 (14) wildlife species
63,Lichens,Crumpled Tarpaper Lichen,Collema coniophilum,Threatened November 2010,Revision to initial report (Fully Updated Report),"BC, CMN, CWS, Parks",April 2026 (14) wildlife species
64,Lichens,Eastern Waterfan,Peltigera hydrothyria,Threatened November 2013,Revision to initial report (Supporting information (no report)),"CMN, CWS, NB, NS, Parks, QC",April 2026 (14) wildlife species
65,Lichens,Oldgrowth Specklebelly,Pseudocyphellaria rainierensis,Special Concern April 2010,Revision to initial report (Fully Updated Report),"BC, CMN, CWS, Parks",April 2026 (14) wildlife species
66,Lichens,Western Waterfan,Peltigera gowardii,Special Concern November 2013,Initial report in preparation (Fully Updated Report),"BC, CMN, CWS, Parks",April 2026 (14) wildlife species
67,Molluscs,Ashy Pebblesnail,Fluminicola fuscus,Not applicable,Initial report in preparation (New Report),"BC, CMN, CWS, DFO, Parks",April 2026 (14) wildlife species
68,Molluscs,Globose Dome,Ventridens ligera,Not applicable,Revision to initial report (New Report),"CMN, CWS, ON, Parks",April 2026 (14) wildlife species
69,Molluscs,Pyramid Dome,Ventridens intertextus,Not applicable,Revision to initial report (New Report),"CMN, CWS, ON, Parks",April 2026 (14) wildlife species
70,Mosses,(common name not available),Apotreubia hortoniae,Not applicable,Initial report in preparation (New Report),"BC, CWS, Parks",April 2026 (14) wildlife species
71,Mosses,Fan Moss,Forsstroemia trichomitria,Not applicable,Initial report in preparation (New Report),"CWS, ON, Parks",April 2026 (14) wildlife species
72,Terrestrial mammals,Plains Bison,Bison bison bison,Threatened November 2013,Initial report in preparation (Fully Updated Report),"AB, BC, CWS, GRRB, MB, Parks, SK, SRRB, WMAC-NS, WMAC-NWT, WRRB, YFWMB",April 2026 (14) wildlife species
73,Terrestrial mammals,Wood Bison,Bison bison athabascae,Special Concern November 2013,Revision to final report (Supporting information (no report)),"AB, BC, CWS, NT, Parks, WMAC-NS, WRRB, YFWMB, YT",April 2026 (14) wildlife species
74,Vascular plants,Beach Pinweed,Lechea maritima,Special Concern April 2008,Initial report in preparation (Fully Updated Report),"CWS, NB, Parks, PE",April 2026 (14) wildlife species
75,Vascular plants,Pale Evening-primrose,Oenothera pallida pallida,Not applicable,Revision to initial report (Fully Updated Report),"BC, CMN, CWS, Parks",April 2026 (14) wildlife species
77,Birds,Bermuda Petrel,Pterodroma cahow,Not applicable,Initial report in preparation (Fully Updated Report),"Atlantic Ocean, CMN, CWS, NS, Parks",November 2026 (7) wildlife species
78,Birds,Marbled Godwit,Limosa fedoa,Not applicable,Initial report in preparation (Fully Updated Report),"AB, BC, CMN, CWS, MB, ON, Parks, QC, SK",November 2026 (7) wildlife species
79,Birds,Rufous Hummingbird,Selasphorus rufus,Not applicable,Initial report in preparation (Fully Updated Report),"AB, BC, CMN, CWS, Parks, YT",November 2026 (7) wildlife species
80,Reptiles,Queensnake,Regina septemvittata,Endangered April 2010,Initial report in preparation (Fully Updated Report),"CWS, ON, Parks",November 2026 (7) wildlife species
81,Terrestrial mammals,Caribou (Northern Mountain population),Rangifer tarandus,Special Concern May 2014,Initial report in preparation (Fully Updated Report),"BC, CWS, GRRB, NT, Parks, SRRB, YFWMB, YT",November 2026 (7) wildlife species
82,Terrestrial mammals,Caribou (Southern Mountain population),Rangifer tarandus,Endangered May 2014,Initial report in preparation (Fully Updated Report),"AB, BC, CWS, Parks",November 2026 (7) wildlife species
83,Terrestrial mammals,Caribou (Central Mountain population),Rangifer tarandus,Endangered May 2014,Initial report in preparation (Fully Updated Report),"AB, BC, CWS, Parks",November 2026 (7) wildlife species
85,Amphibians,Northern Leopard Frog (Western Boreal/Prairie populations),Lithobates pipiens,Special Concern April 2009,Revision to final report (Status Appraisal Summary),"AB, CMN, CWS, MB, NT, Parks, SK",Date not determined (23) wildlife species2
86,Amphibians,Western Chorus Frog,Pseudacris triseriata,Non active April 2008,Initial report in preparation (Fully Updated Report),"CWS, ON, Parks, QC",Date not determined (23) wildlife species2
87,Amphibians,Western Chorus Frog (Great Lakes / St. Lawrence - Canadian Shield),Pseudacris triseriata,Threatened April 2008,Revision to initial report (Supporting information (no report)),"CWS, ON, Parks, QC",Date not determined (23) wildlife species2
88,Amphibians,Western Chorus Frog (Carolinian population),Pseudacris triseriata,Not at Risk April 2008,Revision to initial report (Supporting information (no report)),"CWS, ON, Parks",Date not determined (23) wildlife species2
89,Arthropods,Giant Lacewing,Polystoechotes punctata,Not applicable,Revision to initial report (New Report),"AB, BC, CMN, CWS, ON, Parks, QC, SK",Date not determined (23) wildlife species2
90,Arthropods,Leadplant Flower Moth,Schinia lucens,Not applicable,Revision to initial report (Supporting information (no report)),"CMN, CWS, MB, Parks",Date not determined (23) wildlife species2
91,Freshwater fishes,Atlantic Sturgeon (St. Lawrence populations),Acipenser oxyrinchus,Threatened May 2011,Revision to initial report (Supporting information (no report)),"Atlantic Ocean, CWS, DFO, NL, Parks, PE, QC, TJFB",Date not determined (23) wildlife species2
92,Freshwater fishes,Atlantic Sturgeon (Maritimes populations),Acipenser oxyrinchus,Threatened May 2011,Initial report in preparation (Fully Updated Report),"Atlantic Ocean, CWS, DFO, NB, NS, Parks",Date not determined (23) wildlife species2
93,Freshwater fishes,Silver Shiner,Notropis photogenis,Threatened May 2011,Initial report in preparation (Status Appraisal Summary),"CWS, DFO, ON, Parks",Date not determined (23) wildlife species2
94,Lichens,Blue Felt Lichen,Pectenia plumbea,Special Concern November 2010,Revision to final report (Fully Updated Report),"CMN, CWS, NB, NL, NS, Parks, PE",Date not determined (23) wildlife species2
95,Lichens,Peacock Vinyl Lichen,Scytinium polycarpum,Special Concern May 2011,Revision to final report (Status Appraisal Summary),"BC, CMN, CWS, Parks",Date not determined (23) wildlife species2
96,Marine fishes,American Plaice (Arctic population),Hippoglossoides platessoides,Data Deficient April 2009,Revision to initial report (Fully Updated Report),"Arctic Ocean, Atlantic Ocean, CWS, DFO, HFTCC, NMRWB, NU, NWMB, Parks, QC",Date not determined (23) wildlife species2
97,Marine fishes,American Plaice (Newfoundland and Labrador population),Hippoglossoides platessoides,Threatened April 2009,Revision to initial report (Fully Updated Report),"Atlantic Ocean, CWS, DFO, NL, Parks, TJFB",Date not determined (23) wildlife species2
98,Marine fishes,American Plaice (Maritime population),Hippoglossoides platessoides,Threatened April 2009,Revision to initial report (Fully Updated Report),"Atlantic Ocean, CWS, DFO, NB, NL, NS, NWMB, Parks, PE, QC, TJFB",Date not determined (23) wildlife species2
99,Marine fishes,Bluntnose Sixgill Shark,Hexanchus griseus,Special Concern April 2007,Initial report in preparation (Fully Updated Report),"BC, CMN, CWS, DFO, MNJFC, NJFMC, Parks, Pacific Ocean, TAJFC, TWJFC",Date not determined (23) wildlife species2
100,Marine fishes,Longspine Thornyhead,Sebastolobus altivelis,Special Concern April 2007,Initial report in preparation (Supporting information (no report)),"BC, CWS, DFO, Parks, Pacific Ocean",Date not determined (23) wildlife species2
101,Molluscs,Fawnsfoot,Truncilla donaciformis,Endangered April 2008,Revision to initial report (Status Appraisal Summary),"CMN, CWS, DFO, ON, Parks",Date not determined (23) wildlife species2
102,Terrestrial mammals,Eastern Mole,Scalopus aquaticus,Special Concern November 2010,Initial report in preparation (Rapid Review of Classification),"CWS, ON, Parks",Date not determined (23) wildlife species2
103,Terrestrial mammals,Woodland Vole,Microtus pinetorum,Special Concern November 2010,Initial report in preparation (Rapid Review of Classification),"CWS, ON, Parks, QC",Date not determined (23) wildlife species2
104,Vascular plants,Broad Beech Fern,Phegopteris hexagonoptera,Special Concern April 1983,Revision to final report (Supporting information (no report)),"CWS, ON, Parks, QC",Date not determined (23) wildlife species2
105,Vascular plants,Gaspé Bay Saxifrage,Micranthes gaspensis,Not applicable,Revision to initial report (Supporting information (no report)),"CWS, Parks, QC",Date not determined (23) wildlife species2
106,Vascular plants,Green Dragon,Arisaema dracontium,Special Concern April 1984,Revision to initial report (Supporting information (no report)),"CWS, ON, Parks, QC",Date not determined (23) wildlife species2
107,Vascular plants,Shumard Oak,Quercus shumardii,Special Concern April 1999,Revision to final report (Supporting information (no report)),"CWS, ON, Parks",Date not determined (23) wildlife species2
