,Common name,Taxonomic group,Scientific name,Canadian range / known or potential jurisdictions,Proposed call for bids date,Rationale,Category
10,Marbled Godwit,Birds,Limosa fedoa,"Alberta, British Columbia, Canadian Museum of Nature, Canadian Wildlife Service, Manitoba, Ontario, Parks Canada Agency, Quebec, Saskatchewan",2023,"The Marbled Godwit is a large shorebird that nests in three disjunct areas; by far the largest population in the grasslands and parklands of the northern Great Plains (~170,000 mature individuals, 60% of which are in Canada), with two small, disjunct nesting populations in Alaska and James Bay (~2,000 mature individuals each). Data from the Breeding Bird Survey for the well-monitored midcontinent population indicate a decline of 42% over the past three generations, with the annual rate of decline accelerating to -4.5% over the past decade. Threats underlying this decline are not well known, although the rapid pace of grassland loss, as well as wetland drainage, are likely key factors. Threats on migration and in overwintering areas include the loss of wetland habitat, collisions with power lines and other infrastructure, human disturbance, contamination (including oil spills), climate-change and sea-level rise.",2021 (5) species
11,Plains Spadefoot,Amphibians,Spea bombifrons,"Alberta, Canadian Wildlife Service, Manitoba, Parks Canada Agency, Saskatchewan",2023,"Plains Spadefoot has patchy distribution throughout the dry interior of North America, including Alberta, Saskatchewan, and Manitoba. Historically, the species was presumably widespread in native grasslands throughout the Canadian prairies. These habitats have experienced up to 77% loss throughout the 20th century, mostly due to conversion to agriculture. Loss of grasslands continues, primarily due to fire suppression and grazing regimes that allow vegetation succession to proceed. The species is vulnerable to prolonged summer droughts because it breeds in shallow pools that are subject to drying, leading to periodic failures to produce surviving young. While the species is adapted to predictably variable arid environments, disruption of climatic patterns, combined with intensive agriculture and road networks that constrain dispersal, is likely to result in population declines.",2021 (5) species
12,Rufous Hummingbird,Birds,Selasphorus rufus,"Alberta, British Columbia, Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency, Yukon Territory",2023,"Rufous Hummingbird remains common throughout its range, with a Canadian population estimate of 12 million mature individuals, comprising 54% of the global total. However, it has experienced a long-term population decline, which has been accelerating recently, with an estimated loss of 31% of the Canadian population between 2009 and 2019. Although causes of the decline remain only partly understood, recent research indicates that pesticides and habitat degradation associated with climate change are increasing threats. As a long-distance migrant, Rufous Hummingbird requires high-quality habitat across multiple areas for breeding, migratory stopovers, and wintering. Consequently, threats are repeatedly encountered over their annual life cycle, increasing their cumulative impact on populations.",2021 (5) species
13,Atlantic Mackerel,Marine fishes,Scomber scombrus,"Atlantic Ocean, Canadian Wildlife Service, Department of Fisheries and Oceans, Parks Canada Agency",2023,"Atlantic Mackerel is found in the waters of the Northwest Atlantic from North Carolina to Newfoundland. During spring and summer, Atlantic Mackerel is found in inshore waters. From late fall and in winter, it is found deeper in warmer waters at the edge of the continental shelf. In Canadian waters, spawning occurs mainly in the southern Gulf of St. Lawrence during June and July. Atlantic Mackerel have declined about 80% since the late 1990s. Overfishing is considered the main threat.",2022 (7) species
14,Chinook Salmon,Marine fishes,Oncorhynchus tshawytscha,"Arctic Ocean, British Columbia, Canadian Wildlife Service, Department of Fisheries and Oceans, Northwest Territories, Parks Canada Agency, Pacific Ocean, Yukon Territory",2018,"These DUs are in the Skeena and Nass River drainage areas. They are an anadromous species that migrate to sea and return to spawn in natal rivers. Preliminary Predictions based on current data are as follows: Four of the DUs with complete data are ENDANGERED and the fifth is THREATENED. DUs with incomplete data are all ENDANGERED. Two DUs are data deficient. Major threats may exist and vary according to the diversity of habitat used over the Chinook salmon life cycle: (1) Estuary and (2) Coastal areas are subject to possible threats, for example, from pollution, fisheries, and pinniped predation; (3) High Seas area are subject to possible threats, for example, from competition with other salmon species and changes in ocean productivity and (4) Freshwater habitats are exposed to threats within watershed areas, for example, from habitat degradation, dams, and landslides. Skeena Chinook are a high priority species because DUs has been defined, estimated declines are large, and data are readily available, though likely requires some review. It is also in the same geographic region as Skeena Sockeye which are also subject to similar declines, data availability, and threats.",2022 (7) species
15,Hibernian Jellyskin,Lichens,Leptogium hibernicum,"Canadian Museum of Nature, Canadian Wildlife Service, Nova Scotia, Parks Canada Agency",,"Leptogium hibernicum is a leafy epiphytic cyanolichen of temperate humid to hyperhumid oceanic/montane occurrence usually inhabiting stands of mature to old deciduous trees with neutral to basic and frequently moss-covered bark. In Nova Scotia, Canada, it also occurs on cedar (Thuja occidentalis). This species requires continual high humidity and moderate temperatures. The known locations are either within 25 kms of the coast and are usually somewhat sheltered by topography or existing forest stands.",2022 (7) species
16,Indra Swallowtail subspecies,Arthropods,Papilio indra indra,"British Columbia, Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency",,"The Indra Swallowtail is a large, striking butterfly that is restricted in Canada to the Cascade Mountains of southern British Columbia; they are known at present from only three sites. The larvae feed on the foliage of biscuitroots and perhaps other members of the carrot family that grow on sunny, south facing subalpine slopes. The species' extremely small range makes it vulnerable to catastrophic events such as wildfires, which are predicted to increase in size and intensity with climate change. The warming climate may also cause some loss of open subalpine meadows through an increase in tree and shrub cover.",2022 (7) species
17,Mouse Ears,Lichens,Erioderma sorediatum,"British Columbia, Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency",,"Mouse Ears is a rare cyanolichens restricted to coastal forests. In British Columbia, it is found in four subpopulations in 5-10 locations. However some of the occurrences have not been visited for several decades. The small number of locations and the very low density of thalli found at these locations despite substantial search efforts over the last few decades suggest that this species is very rare in coastal British Columbia and could be getting rarer due to threats. In addition, this species lives on ephemeral habitats and are subject to significant threats such as logging, climate warming (heat dome of 2021), and cabin development and other anthropogenic activities along the coast-line. As a result of this information it is recommended that Erioderma sorediatum be seriously considered for an official priority status assessment.",2022 (7) species
18,Sockeye Salmon,Marine fishes,Oncorhynchus nerka,"Arctic Ocean, British Columbia, Canadian Wildlife Service, Department of Fisheries and Oceans, Northwest Territories, Parks Canada Agency, Pacific Ocean, Yukon Territory",,"These DUs are in the Skeena and Nass River drainage areas. They are an anadromous species that migrate to sea and return to spawn in natal rivers. Nass-Skeena Sockeye are a high priority species because populations have been defined, and observed declines coupled with small population numbers indicate considerable extinction risk. They are also in the same geographic region as Skeena Chinook which are also subject to similar declines, data availability, and threats. Major threats may exist and vary according to the diversity of habitat used over the Sockeye salmon life cycle: (1) Estuary and (2) Coastal areas are subject to possible threats, for example, from pollution, fisheries, and pinniped predation. (3) High Seas area are subject to possible threats, for example, from competition with other salmon species and changes in ocean productivity. (4) Freshwater habitats are exposed to threats within watershed areas, for example, from habitat degradation, dams, and landslides.",2022 (7) species
19,Western Spotted Skunk,Terrestrial mammals,Spilogale gracilis,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",2022,"Western Spotted Skunk in Canada is only found in the southwestern corner of British Columbia. The species is thought to be a habitat generalist, but in BC is found predominantly across deciduous and coniferous forest, riparian areas, and agricultural lands. Although the species is historically rare in Canada, anecdotal fur-trapping records suggest that the species was more common in southwestern BC during the 1950s and 1960s. A number of recent camera-trap studies from across the historical distribution in Canada suggest that the species is now very rare, being found only infrequently. The major threat is habitat loss associated with residential development. Trapping and road mortality could be continuing threats.",2022 (7) species
20,Black-edged Sedge,Vascular plants,Carex nigromarginata,"Canadian Wildlife Service, Ontario, Parks Canada Agency",,"A long-lived perennial sedge of dry, sandy, oak woods first discovered in Ontario in 1980 on Long Point and still only known in Canada from one location. The number of plants is currently estimated to be between 100 and 200, although the there has never been a full census completed and it is likely additional plants will be found. The actual number of individuals may be much less than the number of plants however, because the species is rhizomatous and reproduces clonally. Threats include succession and forest mesification leading to more closed canopies favouring shade-tolerant understories and reduced areas of well-lit forest floor microhabitat.",2024 (25) species
21,Cranefly Orchid,Vascular plants,Tipularia discolor,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"A single small population restricted to mature mesic forests in the Carolinian Zone. The Canadian population currently consists of two individuals in a small remnant old-growth deciduous forest on the Norfolk Sandplain. Its habitat is surrounded by intensive agriculture and is at risk from stochastic events such as severe storm events. Threats include continued habitat alteration and loss, as well as trampling from orchid enthusiasts and probably browsing by over-abundant deer populations.",2024 (25) species
22,Fitch's Elephanthopper,Arthropods,Fitchiella Robertsoni,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"Fitch's Elephanthopper is only associated with native grassland remnants in the eastern United States and Canada, a rare and at-risk ecosystem. It is considered rare and intensely local range-wide, with only approximately 12 populations known in the world prior to 2000 (Bess 2005). It is only known from two locations in southern Ontario and appears to be extremely local in its distribution. Other suitable habitats have been well surveyed, and the species has gone undetected, although this species would benefit from additional targeted search effort in a few key habitats. Habitat succession, invasive species and recreational use of habitats are a current and ongoing threat.",2024 (25) species
23,Flat Dome,Molluscs,Ventridens suppressus,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"This is a medium-size, but distinctive species. The about 100 years old records are from the Hamilton area. Despite large search effort the species hasn't been found in southern Ontario. This species lives in mesic, rocky upland woods. It is possible that Niagara Escarpment has suitable habitat for this species that still needs to be searched. If the species is still extant in Canada, all threats that reduce habitat quantity and quality are possible, with severity being up to extreme. Threats also include climate change, trampling, and invasive species.",2024 (25) species
24,Giant Candlewax,Lichens,Ricasolia amplissima subsp. sheiyi,"British Columbia, Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency",,"Giant Candlewax Lichen is a large tree-dwelling lichen that forms a symbiosis with both algae and cyanobacteria. It forms large thalli up to a half metre in diameter that are bright white when dry and green when wet. Giant Candlewax Lichen is found disjunct in Europe and western North America. The western North American population is genetically distinct and has been named as an endemic subspecies; the Canadian lichens belong to this subspecies. Giant Candlewax Lichen grows on highly exposed, light-rich trunks of old growth Sitka Spruce in close proximity to coastal shorelines in Alaska and British Columbia. The only verified locality in Canada is in an area with extensive coastal logging, limited buffers, and no formal protection status. Its large size and colour makes it unmistakable.",2024 (25) species
25,Greater Yellowlegs,Birds,Tringa melanoleuca,"Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency",,"Greater Yellowlegs is a familiar shorebird that breeds in bogs across Canada's boreal zone, and winters from the southern coasts of the United States southward, including the Caribbean and South America. Although still relatively common, recent analyses of standardized shorebird surveys show that Greater Yellowlegs has likely declined by 43% over the past three generations (15 years). This species' wide range and long migration exposes it to a wide variety of threats across many countries. It is unclear which threats account for the species' decline, but they likely include hunting through much of the winter range, and wetland habitat loss and degradation throughout the migration and winter range.",2024 (25) species
26,Harp Seal,Marine mammals,Phoca groenlandica,"Arctic Ocean, Atlantic Ocean, Canadian Wildlife Service, Department of Fisheries and Oceans, Newfoundland and Labrador, Parks Canada Agency",,"Harp Seal is distributed over continental shelf areas of the North Atlantic; in summer their range extends into Arctic waters. Three populations are recognized, but only the Northwest Atlantic population, which accounts for 76% of the world population occurs in Canadian waters. All populations recovered after implementation of conservation measures in the 1970s, but all have shown declines over the last 20-50 years. Harp Seals are harvested commercially and for subsistence, but current harvests are well below sustainable levels. Declines in quality and quantity of the seasonal pack ice which are essential for breeding and changes in food resources are thought to be impacting this species. The outlook under climate change is for continued deterioration in ice cover, which will negatively impact this species, because they have shown no signs of using terrestrial sites for hauling out or pupping. Over the longer term there may be a northward shift in distribution of pupping and molting areas as the ice contracts northwards, but this may also lead to increased natural mortality if it results in increased overlap with an important predator, Polar Bear. This species has never been assessed by COSEWIC.",2024 (25) species
27,Hooded Seal,Marine mammals,Cystophora cristata,"Arctic Ocean, Atlantic Ocean, Canadian Wildlife Service, Department of Fisheries and Oceans, Nunavut Territory, Nunavut Wildlife Management Board, Parks Canada Agency",,"The Hooded Seal is distributed over continental shelf break areas of the North Atlantic; in summer their range extends into Arctic waters. A single population is recognized, but has been divided into two management stocks, based on the location of the whelping areas-the NE and N Atlantic stocks. The NW Atlantic stock accounts for 85% of the population but only spends approximately half the year in Canadian waters. The NW Atlantic stock has not been assessed since 2006, when it was estimated at 600,000 animals. The NE Atlantic stock was assessed in 2017 at 80,000 animals. Herds in all areas are thought to be declining. The NE Atlantic stock appears to be declining at a rate of 1-2% per year. Hooded Seals are harvested for subsistence in Greenland. Adults can be hunted commercially in the NW Atlantic, but few if any animals are taken. Declines in quality and quantity of the seasonal pack ice which are essential for breeding and changes in food resources are thought to be impacting this species. The outlook under climate change is for continued deterioration in ice cover, which will negatively impact this species, because they have shown no signs of using terrestrial sites for hauling out or pupping. Over the longer term there may be a northward shift in distribution of pupping and molting areas as the ice contracts northwards, but this may also lead to increased natural mortality if it results in increased overlap with an important predator Polar Bear. This species was last assessed as not at risk by COSEWIC in 1986.",2024 (25) species
28,Klaza Draba,Vascular plants,Draba bruce-bennettii,"Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency, Yukon Territory",,"Klaza Draba is a small, long-lived, cushion forming mustard endemic to Canada where it is known from Langham and Tritop mountains in southwestern Yukon. It has been found in rocky tundra on unglaciated volcanic (andesite) bedrock dominated by moss and lichens amongst mountain avens / arctic willow tundra. Most of the global population occurs on Langham Mountain where the full extent of the population is not known. At Tritop Mountain the habitat is restricted to a small area (<2 km2) that has been disturbed by exploration activities in the past and the remaining habitat is subject to shrubification. The Langham subpopulation covers a larger area but is subject to the same threats. Most of the surrounding habitat is forested or covered in shrubs making it unsuitable for this species.",2024 (25) species
29,Northern Beebandit,Arthropods,Megaphorus willistoni,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",,"This robber fly is restricted in Canada to the hottest grasslands of the southern Okanagan and Similkameen valleys, where it is apparently sparse. It mimics leafcutter bees, and apparently hunts these and other bees and wasps around grassland flowers. The major threats within the small range are probably habitat loss to agricultural and urban development, and (perhaps in the short term) increased fires in a fragmented landscape.",2024 (25) species
30,Northern Desert Fly,Arthropods,Apiocera barri,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",,"The Northern Desert Fly is a large, distinctive fly restricted to the southern Okanagan Valley in Canada, where it occurs almost exclusively in the endangered antelope-brush/needle-and-thread grass community. The area of this habitat continues to decline at about 2% annually.",2024 (25) species
31,Plains Rough Fescue,Vascular plants,Festuca hallii,"Alberta, Canadian Museum of Nature, Canadian Wildlife Service, Manitoba, Ontario, Parks Canada Agency, Saskatchewan",,"Plains rough fescue is among the dominant species of native grassland communities in fescue prairies, which historically formed a band in the northern prairies, south of the transition to boreal forest. An estimated 95% of these communities have been lost due to fire suppression, conversion of land to agricultural production, and other development (residential/industrial/transportation). As a slow-growing, late successional and long-lived species, plains rough fescue is threatened by aggressive invasive species, particularly perennial, rhizomatous grasses, which readily establish on the rich soils of the fescue grasslands. Furthermore, climate change is expected to bring warmer, drier conditions to the Canadian prairies, pushing the climatic envelope of plains rough fescue well to the north.",2024 (25) species
32,Ravenfoot Sedge,Vascular plants,Carex crus-corvi,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"A perennial sedge of wet depressions in lowland deciduous woods and seasonally flooded alluvial forests first discovered in Ontario in 1985 in Essex and Lambton counties. The current Canadian population is estimated to be about 100 plants, although some additional suitable habitat remains to be surveyed. Threats are not well documented but likely include invasive species and declines in habitat quality.",2024 (25) species
33,Rough-skinned Newt,Amphibians,Taricha granulosa,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",,"Rough-skinned newts are found on the west coast of British Columbia. They produce a powerful neurotoxin, which is a very effective defence against bird and mammalian predators. Their primary threats are habitat destruction from logging, emerging infectious diseases (Bd and Bsal), and climate change.",2024 (25) species
34,Short-stemmed Iris,Vascular plants,Iris brevicaulis,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"This small, showy iris is known in Canada from open, moist woods on Pelee Island and near Leamington in southwestern Ontario. Of the four documented subpopulations, only one is confirmed extant. Potential threats include agricultural clearing, invasive species, and other ecosystem modifications.",2024 (25) species
35,Smooth Clustered Sedge,Vascular plants,Carex aggregata,"Canadian Wildlife Service, Ontario, Parks Canada Agency",,"A perennial sedge of calcareous open rocky woods first discovered in Ontario in 1982 on Middle Island where it considered native. The number of plants here is estimated to be fewer than 50 individuals. At least two additional sites have been documented from Elgin and Haldimand counties, though the native status of these occurrences is unclear. Threats to the Middle Island subpopulation include invasive species including Garlic Mustard (Alliaria petiolata) and Common Starwort (Stellaria media), reduced canopy cover, changes in soil chemistry, and increased competition due to increasing numbers of nesting Double-crested Cormorants.",2024 (25) species
36,Solitary Sandpiper,Birds,Tringa solitaria,"Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency",,"Solitary Sandpiper is a widespread but poorly-studied shorebird that nests in coniferous trees throughout the boreal zone of Canada, and winters from the Caribbean and Central America through most of South America. Although still relatively common, recent analyses of standardized shorebird surveys show that this species has likely declined by 50% over the past ten years. Its wide range and long migrations expose it to a wide variety of threats across many countries. While it is unclear exactly which threats account for the species' decline, loss and degradation of freshwater wetland habitat, particularly on the migration and wintering grounds, are likely important, as is hunting on the migration and winter range.",2024 (25) species
37,Square-stemmed Spikerush,Vascular plants,Eleocharis quadrangulata,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"A perennial spikesedge of shallow water ponds and marshes known historically from five subpopulations in southwestern Ontario where it reaches its northern range limit. Of these, only one has been recently verified; the others have not been relocated, and at least one is considered extirpated. The species has probably declined from historical populations since many of them are associated with wetland habitat that now occurs in highly modified landscapes. Two new sites have been discovered in recent years resulting in a total of three extant subpopulations, though the total number of mature individuals is not known. The habitat at the largest site is rapidly declining due to the spread of the invasive, introduced European Reed, an aggressive exotic wetland grass.",2024 (25) species
38,Tall Green Milkweed,Vascular plants,Asclepias hirtella,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"This large milkweed is restricted in Canada to tallgrass prairie remnants in Windsor, Ontario. There are only a few extant subpopulations and less than 40 plants probably remain. Potential threats include transportation and utility corridors, invasive species and other ecosystem modifications such as drainage and mowing.",2024 (25) species
39,Tiger Mydas Fly,Arthropods,Nemomydas pantherinus,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",,"The Tiger Mydas Fly is a distinctive, predaceous fly that is restricted to the Okanagan, Similkameen and Kettle Valleys in Canada, where it occurs in the hottest, driest grassland-steppe plant communities. The area of this habitat continues to decline at about 2% annually.",2024 (25) species
40,Tinted Woodland Spurge,Vascular plants,Euphorbia commutata,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",,"This small, annual plant is restricted in Canada to marble barrens near Black Donald Lake in Renfrew County and limestone alvars in Hastings County in eastern Ontario. There are about 13 documented subpopulations, of which 11 are considered extant. Threats include residential and commercial development, forestry activities, and invasive species.",2024 (25) species
